Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00373
0.00	0.0251	0.00	0.0751	0.00989
0.00	0.0564	0.00	0.168	0.0160
0.00	0.0870	0.00	0.260	0.0222
0.833	0.118	0.0548	0.354	0.0284
0.00	0.149	0.00	0.445	0.0345
0.833	0.180	0.0548	0.539	0.0407
0.833	0.210	0.0548	0.629	0.0468
0.833	0.241	0.0548	0.721	0.0530
0.833	0.272	0.0548	0.813	0.0592
0.833	0.303	0.0548	0.905	0.0653
0.833	0.334	0.0548	0.999	0.0715
0.833	0.364	0.0548	1.09	0.0776
0.833	0.395	0.0548	1.18	0.0838
0.833	0.426	0.0548	1.27	0.0900
0.833	0.457	0.0548	1.37	0.0961
0.833	0.488	0.0548	1.46	0.102
0.833	0.518	0.0548	1.55	0.108
0.833	0.549	0.0548	1.64	0.115
0.833	0.580	0.0548	1.73	0.121
1.67	0.611	0.110	1.83	0.127
1.67	0.642	0.110	1.92	0.133
0.833	0.672	0.0548	2.01	0.139
0.833	0.703	0.0548	2.10	0.145
0.833	0.734	0.0548	2.19	0.152
1.67	0.765	0.110	2.29	0.158
1.67	0.796	0.110	2.38	0.164
1.67	0.827	0.110	2.47	0.170
1.67	0.857	0.110	2.56	0.176
1.67	0.888	0.110	2.65	0.182
1.67	0.919	0.110	2.75	0.188
1.67	0.950	0.110	2.84	0.195
1.67	0.981	0.110	2.93	0.201
1.67	1.01	0.110	3.02	0.207
1.67	1.04	0.110	3.11	0.213
1.67	1.07	0.110	3.21	0.219
1.67	1.10	0.110	3.30	0.225
1.67	1.13	0.110	3.39	0.232
1.67	1.17	0.110	3.48	0.238
1.67	1.20	0.110	3.57	0.244
1.67	1.23	0.110	3.67	0.250
1.67	1.26	0.110	3.76	0.256
1.67	1.29	0.110	3.85	0.262
1.67	1.32	0.110	3.94	0.269
1.67	1.35	0.110	4.03	0.275
1.67	1.38	0.110	4.13	0.281
1.67	1.41	0.110	4.22	0.287
1.67	1.44	0.110	4.31	0.293
2.50	1.47	0.164	4.41	0.299
1.87	1.50	0.123	4.49	0.306
2.50	1.53	0.164	4.59	0.312
2.50	1.57	0.164	4.68	0.318
2.50	1.60	0.164	4.77	0.324
2.50	1.63	0.164	4.86	0.330
2.50	1.66	0.164	4.96	0.336
2.50	1.69	0.164	5.05	0.342
2.50	1.72	0.164	5.14	0.349
2.50	1.75	0.164	5.23	0.355
2.50	1.78	0.164	5.32	0.361
2.50	1.81	0.164	5.41	0.367
2.50	1.84	0.164	5.51	0.373
2.50	1.87	0.164	5.60	0.379
2.50	1.90	0.164	5.69	0.386
2.50	1.93	0.164	5.78	0.392
2.50	1.97	0.164	5.88	0.398
2.50	2.00	0.164	5.97	0.404
2.50	2.03	0.164	6.06	0.410
2.50	2.06	0.164	6.15	0.416
2.50	2.09	0.164	6.24	0.423
2.50	2.12	0.164	6.33	0.429
2.50	2.15	0.164	6.43	0.435
2.50	2.18	0.164	6.52	0.441
2.50	2.21	0.164	6.61	0.447
2.50	2.24	0.164	6.70	0.453
2.50	2.27	0.164	6.80	0.459
2.50	2.31	0.164	6.89	0.466
2.50	2.34	0.164	6.98	0.472
2.50	2.37	0.164	7.07	0.478
2.50	2.40	0.164	7.16	0.484
2.50	2.43	0.164	7.26	0.490
2.50	2.46	0.164	7.35	0.496
2.50	2.49	0.164	7.44	0.503
3.33	2.52	0.219	7.53	0.509
3.33	2.55	0.219	7.62	0.515
2.81	2.58	0.185	7.72	0.521
3.33	2.61	0.219	7.81	0.527
3.33	2.64	0.219	7.90	0.533
3.33	2.67	0.219	8.00	0.540
3.22	2.70	0.212	8.08	0.546
3.33	2.74	0.219	8.18	0.552
3.33	2.77	0.219	8.27	0.558
3.33	2.80	0.219	8.37	0.564
3.33	2.83	0.219	8.45	0.570
3.33	2.86	0.219	8.55	0.577
3.33	2.89	0.219	8.64	0.583
3.33	2.92	0.219	8.73	0.589
3.33	2.95	0.219	8.82	0.595
3.33	2.98	0.219	8.91	0.601
3.33	3.01	0.219	9.01	0.607
3.33	3.04	0.219	9.10	0.613
3.33	3.07	0.219	9.19	0.620
3.33	3.11	0.219	9.29	0.626
3.33	3.14	0.219	9.37	0.632
3.33	3.17	0.219	9.47	0.638
3.33	3.20	0.219	9.56	0.644
3.99	3.23	0.262	9.65	0.650
3.33	3.26	0.219	9.74	0.657
3.33	3.29	0.219	9.84	0.663
3.45	3.32	0.227	9.93	0.669
3.33	3.35	0.219	10.0	0.675
4.17	3.38	0.274	10.1	0.681
4.17	3.41	0.274	10.2	0.687
4.17	3.44	0.274	10.3	0.694
3.33	3.47	0.219	10.4	0.700
4.17	3.51	0.274	10.5	0.706
3.33	3.54	0.219	10.6	0.712
4.17	3.57	0.274	10.7	0.718
4.17	3.60	0.274	10.8	0.724
3.33	3.63	0.219	10.8	0.730
4.17	3.66	0.274	10.9	0.737
3.33	3.69	0.219	11.0	0.743
3.47	3.72	0.228	11.1	0.749
4.17	3.75	0.274	11.2	0.755
3.99	3.78	0.262	11.3	0.761
4.17	3.81	0.274	11.4	0.767
4.17	3.84	0.274	11.5	0.774
4.17	3.88	0.274	11.6	0.780
4.17	3.91	0.274	11.7	0.786
4.17	3.94	0.274	11.8	0.792
4.17	3.97	0.274	11.9	0.798
4.17	4.00	0.274	12.0	0.804
4.17	4.03	0.274	12.0	0.811
4.17	4.06	0.274	12.1	0.817
4.17	4.09	0.274	12.2	0.823
4.17	4.12	0.274	12.3	0.829
4.17	4.15	0.274	12.4	0.835
4.17	4.18	0.274	12.5	0.841
4.17	4.21	0.274	12.6	0.848
4.17	4.25	0.274	12.7	0.854
4.17	4.28	0.274	12.8	0.860
4.17	4.31	0.274	12.9	0.866
4.17	4.34	0.274	13.0	0.872
4.17	4.37	0.274	13.1	0.878
4.17	4.40	0.274	13.2	0.884
4.17	4.43	0.274	13.2	0.891
4.17	4.46	0.274	13.3	0.897
5.00	4.49	0.329	13.4	0.903
4.17	4.52	0.274	13.5	0.909
4.17	4.55	0.274	13.6	0.915
5.00	4.58	0.329	13.7	0.921
4.17	4.61	0.274	13.8	0.928
4.17	4.65	0.274	13.9	0.934
5.00	4.68	0.329	14.0	0.940
5.00	4.71	0.329	14.1	0.946
4.17	4.74	0.274	14.2	0.952
5.00	4.77	0.329	14.3	0.958
5.00	4.80	0.329	14.3	0.965
5.00	4.83	0.329	14.4	0.971
5.00	4.86	0.329	14.5	0.977
4.17	4.89	0.274	14.6	0.983
5.00	4.92	0.329	14.7	0.989
5.00	4.95	0.329	14.8	0.995
5.00	4.98	0.329	14.9	1.00
5.00	5.01	0.329	15.0	1.01
5.00	5.05	0.329	15.1	1.01
5.00	5.08	0.329	15.2	1.02
5.00	5.11	0.329	15.3	1.03
5.00	5.14	0.329	15.4	1.03
5.00	5.17	0.329	15.5	1.04
5.00	5.20	0.329	15.5	1.04
5.00	5.23	0.329	15.6	1.05
5.00	5.26	0.329	15.7	1.06
5.00	5.29	0.329	15.8	1.06
5.00	5.32	0.329	15.9	1.07
5.00	5.35	0.329	16.0	1.08
5.00	5.38	0.329	16.1	1.08
5.00	5.41	0.329	16.2	1.09
5.00	5.45	0.329	16.3	1.09
5.00	5.48	0.329	16.4	1.10
5.00	5.51	0.329	16.5	1.11
5.00	5.54	0.329	16.6	1.11
5.18	5.57	0.341	16.6	1.12
5.00	5.60	0.329	16.7	1.12
5.00	5.63	0.329	16.8	1.13
5.00	5.66	0.329	16.9	1.14
5.00	5.69	0.329	17.0	1.14
5.00	5.72	0.329	17.1	1.15
5.83	5.75	0.384	17.2	1.16
5.83	5.79	0.384	17.3	1.16
5.00	5.81	0.329	17.4	1.17
5.48	5.85	0.361	17.5	1.17
5.83	5.88	0.384	17.6	1.18
5.83	5.91	0.384	17.7	1.19
5.83	5.94	0.384	17.8	1.19
5.83	5.97	0.384	17.8	1.20
5.73	6.00	0.377	17.9	1.20
5.83	6.03	0.384	18.0	1.21
5.83	6.06	0.384	18.1	1.22
5.83	6.09	0.384	18.2	1.22
5.83	6.12	0.384	18.3	1.23
5.83	6.15	0.384	18.4	1.24
5.83	6.19	0.384	18.5	1.24
5.83	6.22	0.384	18.6	1.25
5.83	6.25	0.384	18.7	1.25
5.83	6.28	0.384	18.8	1.26
5.83	6.31	0.384	18.9	1.27
5.83	6.34	0.384	19.0	1.27
5.83	6.37	0.384	19.0	1.28
5.83	6.40	0.384	19.1	1.28
5.83	6.43	0.384	19.2	1.29
5.83	6.46	0.384	19.3	1.30
5.83	6.49	0.384	19.4	1.30
5.83	6.52	0.384	19.5	1.31
5.83	6.55	0.384	19.6	1.32
5.83	6.58	0.384	19.7	1.32
5.83	6.62	0.384	19.8	1.33
5.83	6.65	0.384	19.9	1.33
5.83	6.68	0.384	20.0	1.34
5.83	6.71	0.384	20.1	1.35
5.83	6.74	0.384	20.1	1.35
5.83	6.77	0.384	20.2	1.36
5.83	6.80	0.384	20.3	1.36
6.67	6.83	0.439	20.4	1.37
5.98	6.86	0.393	20.5	1.38
6.67	6.89	0.439	20.6	1.38
5.83	6.92	0.384	20.7	1.39
5.83	6.96	0.384	20.8	1.40
5.83	6.99	0.384	20.9	1.40
5.83	7.02	0.384	21.0	1.41
5.83	7.05	0.384	21.1	1.41
6.67	7.08	0.439	21.2	1.42
5.83	7.11	0.384	21.3	1.43
6.67	7.14	0.439	21.3	1.43
6.67	7.17	0.439	21.4	1.44
5.83	7.20	0.384	21.5	1.44
5.83	7.23	0.384	21.6	1.45
6.67	7.26	0.439	21.7	1.46
6.67	7.29	0.439	21.8	1.46
5.83	7.32	0.384	21.9	1.47
6.67	7.35	0.439	22.0	1.48
6.67	7.39	0.439	22.1	1.48
6.67	7.42	0.439	22.2	1.49
6.67	7.45	0.439	22.3	1.49
6.67	7.48	0.439	22.4	1.50
6.67	7.51	0.439	22.4	1.51
6.67	7.54	0.439	22.5	1.51
6.67	7.57	0.439	22.6	1.52
6.67	7.60	0.439	22.7	1.52
6.67	7.63	0.439	22.8	1.53
6.67	7.66	0.439	22.9	1.54
6.67	7.69	0.439	23.0	1.54
6.67	7.72	0.439	23.1	1.55
6.67	7.76	0.439	23.2	1.56
6.67	7.79	0.439	23.3	1.56
6.67	7.82	0.439	23.4	1.57
6.67	7.85	0.439	23.5	1.57
6.67	7.88	0.439	23.6	1.58
6.67	7.91	0.439	23.6	1.59
6.67	7.94	0.439	23.7	1.59
6.67	7.97	0.439	23.8	1.60
6.67	8.00	0.439	23.9	1.61
6.67	8.03	0.439	24.0	1.61
6.67	8.06	0.439	24.1	1.62
6.67	8.09	0.439	24.2	1.62
6.67	8.13	0.439	24.3	1.63
6.67	8.16	0.439	24.4	1.64
6.67	8.19	0.439	24.5	1.64
6.67	8.22	0.439	24.6	1.65
6.67	8.25	0.439	24.7	1.65
6.67	8.28	0.439	24.8	1.66
6.67	8.31	0.439	24.8	1.67
6.67	8.34	0.439	24.9	1.67
6.67	8.37	0.439	25.0	1.68
6.67	8.40	0.439	25.1	1.69
7.50	8.43	0.493	25.2	1.69
6.67	8.46	0.439	25.3	1.70
6.67	8.49	0.439	25.4	1.70
6.67	8.53	0.439	25.5	1.71
7.50	8.56	0.493	25.6	1.72
7.50	8.59	0.493	25.7	1.72
7.10	8.62	0.467	25.8	1.73
6.67	8.65	0.439	25.9	1.73
6.67	8.68	0.439	25.9	1.74
6.67	8.71	0.439	26.0	1.75
7.50	8.74	0.493	26.1	1.75
7.50	8.77	0.493	26.2	1.76
6.67	8.80	0.439	26.3	1.77
7.50	8.83	0.493	26.4	1.77
7.50	8.86	0.493	26.5	1.78
6.67	8.89	0.439	26.6	1.78
7.50	8.93	0.493	26.7	1.79
6.67	8.96	0.439	26.8	1.80
6.67	8.99	0.439	26.9	1.80
7.50	9.02	0.493	27.0	1.81
7.50	9.05	0.493	27.1	1.81
7.35	9.08	0.484	27.1	1.82
6.67	9.11	0.439	27.2	1.83
6.67	9.14	0.439	27.3	1.83
7.50	9.17	0.493	27.4	1.84
7.50	9.20	0.493	27.5	1.85
7.50	9.23	0.493	27.6	1.85
7.50	9.26	0.493	27.7	1.86
7.50	9.30	0.493	27.8	1.86
7.50	9.33	0.493	27.9	1.87
7.50	9.36	0.493	28.0	1.88
7.50	9.39	0.493	28.1	1.88
7.50	9.42	0.493	28.2	1.89
7.50	9.45	0.493	28.3	1.89
7.50	9.48	0.493	28.3	1.90
7.50	9.51	0.493	28.4	1.91
7.50	9.54	0.493	28.5	1.91
7.50	9.57	0.493	28.6	1.92
7.50	9.60	0.493	28.7	1.93
7.50	9.63	0.493	28.8	1.93
7.50	9.66	0.493	28.9	1.94
7.50	9.70	0.493	29.0	1.94
7.50	9.73	0.493	29.1	1.95
7.50	9.76	0.493	29.2	1.96
7.50	9.79	0.493	29.3	1.96
7.50	9.82	0.493	29.4	1.97
7.50	9.85	0.493	29.4	1.97
7.50	9.88	0.493	29.5	1.98
7.50	9.91	0.493	29.6	1.99
7.61	9.94	0.500	29.7	1.99
7.50	9.97	0.493	29.8	2.00
7.50	10.0	0.493	29.9	2.01
7.50	10.0	0.493	30.0	2.01
7.50	10.1	0.493	30.1	2.02
7.50	10.1	0.493	30.2	2.02
7.50	10.1	0.493	30.3	2.03
7.50	10.2	0.493	30.4	2.04
7.50	10.2	0.493	30.5	2.04
7.50	10.2	0.493	30.6	2.05
8.33	10.2	0.548	30.6	2.05
7.77	10.3	0.511	30.7	2.06
7.50	10.3	0.493	30.8	2.07
7.55	10.3	0.497	30.9	2.07
7.50	10.4	0.493	31.0	2.08
7.50	10.4	0.493	31.1	2.09
8.33	10.4	0.548	31.2	2.09
8.33	10.5	0.548	31.3	2.10
8.33	10.5	0.548	31.4	2.10
7.50	10.5	0.493	31.5	2.11
7.50	10.6	0.493	31.6	2.12
8.33	10.6	0.548	31.7	2.12
8.33	10.6	0.548	31.7	2.13
8.33	10.7	0.548	31.8	2.13
7.50	10.7	0.493	31.9	2.14
8.33	10.7	0.548	32.0	2.15
8.33	10.7	0.548	32.1	2.15
8.33	10.8	0.548	32.2	2.16
7.50	10.8	0.493	32.3	2.17
8.33	10.8	0.548	32.4	2.17
8.33	10.9	0.548	32.5	2.18
7.50	10.9	0.493	32.6	2.18
8.33	10.9	0.548	32.7	2.19
8.33	11.0	0.548	32.8	2.20
8.33	11.0	0.548	32.9	2.20
8.33	11.0	0.548	32.9	2.21
8.33	11.1	0.548	33.0	2.21
8.33	11.1	0.548	33.1	2.22
8.33	11.1	0.548	33.2	2.23
8.33	11.1	0.548	33.3	2.23
8.33	11.2	0.548	33.4	2.24
8.33	11.2	0.548	33.5	2.25
8.33	11.2	0.548	33.6	2.25
8.33	11.3	0.548	33.7	2.26
8.33	11.3	0.548	33.8	2.26
8.33	11.3	0.548	33.9	2.27
8.33	11.4	0.548	34.0	2.28
8.33	11.4	0.548	34.0	2.28
8.33	11.4	0.548	34.1	2.29
8.33	11.5	0.548	34.2	2.29
8.33	11.5	0.548	34.3	2.30
8.33	11.5	0.548	34.4	2.31
8.33	11.5	0.548	34.5	2.31
8.33	11.6	0.548	34.6	2.32
8.33	11.6	0.548	34.7	2.33
8.33	11.6	0.548	34.8	2.33
8.33	11.7	0.548	34.9	2.34
8.33	11.7	0.548	35.0	2.34
8.33	11.7	0.548	35.1	2.35
8.33	11.8	0.548	35.2	2.36
8.33	11.8	0.548	35.2	2.36
8.33	11.8	0.548	35.3	2.37
8.33	11.9	0.548	35.4	2.37
8.33	11.9	0.548	35.5	2.38
8.99	11.9	0.592	35.6	2.39
8.33	11.9	0.548	35.7	2.39
8.33	12.0	0.548	35.8	2.40
8.33	12.0	0.548	35.9	2.41
8.33	12.0	0.548	36.0	2.41
8.33	12.1	0.548	36.1	2.42
8.33	12.1	0.548	36.2	2.42
8.33	12.1	0.548	36.3	2.43
9.17	12.2	0.603	36.3	2.44
9.17	12.2	0.603	36.4	2.44
8.33	12.2	0.548	36.5	2.45
9.17	12.3	0.603	36.6	2.45
9.17	12.3	0.603	36.7	2.46
9.17	12.3	0.603	36.8	2.47
8.33	12.3	0.548	36.9	2.47
9.17	12.4	0.603	37.0	2.48
9.17	12.4	0.603	37.1	2.49
9.17	12.4	0.603	37.2	2.49
9.17	12.5	0.603	37.3	2.50
9.17	12.5	0.603	37.4	2.50
9.17	12.5	0.603	37.5	2.51
8.33	12.6	0.548	37.5	2.52
9.17	12.6	0.603	37.6	2.52
9.17	12.6	0.603	37.7	2.53
9.17	12.7	0.603	37.8	2.54
9.17	12.7	0.603	37.9	2.54
9.17	12.7	0.603	38.0	2.55
9.17	12.7	0.603	38.1	2.55
9.17	12.8	0.603	38.2	2.56
9.17	12.8	0.603	38.3	2.57
9.17	12.8	0.603	38.4	2.57
9.17	12.9	0.603	38.5	2.58
9.17	12.9	0.603	38.6	2.58
9.17	12.9	0.603	38.7	2.59
9.17	13.0	0.603	38.7	2.60
9.17	13.0	0.603	38.8	2.60
9.17	13.0	0.603	38.9	2.61
9.17	13.1	0.603	39.0	2.62
9.17	13.1	0.603	39.1	2.62
9.17	13.1	0.603	39.2	2.63
9.17	13.1	0.603	39.3	2.63
9.17	13.2	0.603	39.4	2.64
9.17	13.2	0.603	39.5	2.65
9.17	13.2	0.603	39.6	2.65
9.17	13.3	0.603	39.7	2.66
9.17	13.3	0.603	39.8	2.66
9.17	13.3	0.603	39.9	2.67
9.17	13.4	0.603	39.9	2.68
9.42	13.4	0.620	40.0	2.68
9.17	13.4	0.603	40.1	2.69
9.17	13.5	0.603	40.2	2.70
9.17	13.5	0.603	40.3	2.70
9.17	13.5	0.603	40.4	2.71
9.17	13.5	0.603	40.5	2.71
9.17	13.6	0.603	40.6	2.72
9.17	13.6	0.603	40.7	2.73
9.17	13.6	0.603	40.8	2.73
9.17	13.7	0.603	40.9	2.74
9.17	13.7	0.603	41.0	2.74
9.17	13.7	0.603	41.0	2.75
9.17	13.8	0.603	41.1	2.76
9.17	13.8	0.603	41.2	2.76
9.20	13.8	0.605	41.3	2.77
10.0	13.9	0.658	41.4	2.78
9.17	13.9	0.603	41.5	2.78
9.17	13.9	0.603	41.6	2.79
10.0	13.9	0.658	41.7	2.79
9.17	14.0	0.603	41.8	2.80
9.25	14.0	0.608	41.9	2.81
9.34	14.0	0.615	42.0	2.81
9.17	14.1	0.603	42.1	2.82
10.0	14.1	0.658	42.2	2.82
10.0	14.1	0.658	42.2	2.83
10.0	14.2	0.658	42.3	2.84
9.17	14.2	0.603	42.4	2.84
10.0	14.2	0.658	42.5	2.85
10.0	14.3	0.658	42.6	2.86
9.17	14.3	0.603	42.7	2.86
10.0	14.3	0.658	42.8	2.87
10.0	14.3	0.658	42.9	2.87
9.17	14.4	0.603	43.0	2.88
9.17	14.4	0.603	43.1	2.89
9.74	14.4	0.641	43.2	2.89
10.0	14.5	0.658	43.3	2.90
10.0	14.5	0.658	43.3	2.90
10.0	14.5	0.658	43.4	2.91
10.0	14.6	0.658	43.5	2.92
10.0	14.6	0.658	43.6	2.92
10.0	14.6	0.658	43.7	2.93
10.0	14.7	0.658	43.8	2.94
10.0	14.7	0.658	43.9	2.94
10.0	14.7	0.658	44.0	2.95
10.0	14.7	0.658	44.1	2.95
10.0	14.8	0.658	44.2	2.96
10.0	14.8	0.658	44.3	2.97
10.0	14.8	0.658	44.4	2.97
10.0	14.9	0.658	44.5	2.98
10.0	14.9	0.658	44.5	2.98
10.0	14.9	0.658	44.6	2.99
10.0	15.0	0.658	44.7	3.00
10.0	15.0	0.658	44.8	3.00
10.0	15.0	0.658	44.9	3.01
10.0	15.1	0.658	45.0	3.02
10.0	15.1	0.658	45.1	3.02
10.0	15.1	0.658	45.2	3.03
10.0	15.1	0.658	45.3	3.03
10.0	15.2	0.658	45.4	3.04
10.0	15.2	0.658	45.5	3.05
10.0	15.2	0.658	45.6	3.05
10.0	15.3	0.658	45.6	3.06
10.0	15.3	0.658	45.7	3.06
10.0	15.3	0.658	45.8	3.07
10.0	15.4	0.658	45.9	3.08
10.0	15.4	0.658	46.0	3.08
10.0	15.4	0.658	46.1	3.09
10.0	15.5	0.658	46.2	3.10
10.0	15.5	0.658	46.3	3.10
10.0	15.5	0.658	46.4	3.11
10.0	15.5	0.658	46.5	3.11
10.0	15.6	0.658	46.6	3.12
10.0	15.6	0.658	46.7	3.13
10.0	15.6	0.658	46.8	3.13
10.0	15.7	0.658	46.8	3.14
10.0	15.7	0.658	46.9	3.14
10.3	15.7	0.677	47.0	3.15
10.0	15.8	0.658	47.1	3.16
10.0	15.8	0.658	47.2	3.16
10.0	15.8	0.658	47.3	3.17
10.0	15.9	0.658	47.4	3.18
10.0	15.9	0.658	47.5	3.18
10.0	15.9	0.658	47.6	3.19
10.8	15.9	0.713	47.7	3.19
10.0	16.0	0.658	47.8	3.20
10.8	16.0	0.713	47.9	3.21
10.0	16.0	0.658	48.0	3.21
10.6	16.1	0.700	48.0	3.22
10.0	16.1	0.658	48.1	3.22
10.0	16.1	0.658	48.2	3.23
10.0	16.2	0.658	48.3	3.24
10.8	16.2	0.713	48.4	3.24
10.0	16.2	0.658	48.5	3.25
10.8	16.3	0.713	48.6	3.26
10.8	16.3	0.713	48.7	3.26
10.8	16.3	0.713	48.8	3.27
10.0	16.3	0.658	48.9	3.27
10.8	16.4	0.713	49.0	3.28
10.8	16.4	0.713	49.1	3.29
10.8	16.4	0.713	49.1	3.29
10.8	16.5	0.713	49.2	3.30
10.8	16.5	0.713	49.3	3.30
10.8	16.5	0.713	49.4	3.31
10.8	16.6	0.713	49.5	3.32
10.0	16.6	0.660	49.6	3.32
10.8	16.6	0.713	49.7	3.33
10.3	16.7	0.677	49.8	3.34
10.8	16.7	0.713	49.9	3.34
10.8	16.7	0.713	50.0	3.35
10.8	16.7	0.713	50.1	3.35
10.8	16.8	0.713	50.2	3.36
10.8	16.8	0.713	50.3	3.37
10.8	16.8	0.713	50.3	3.37
10.8	16.9	0.713	50.4	3.38
10.8	16.9	0.713	50.5	3.38
10.8	16.9	0.713	50.6	3.39
10.8	17.0	0.713	50.7	3.40
10.8	17.0	0.713	50.8	3.40
10.8	17.0	0.713	50.9	3.41
10.8	17.1	0.713	51.0	3.42
10.8	17.1	0.713	51.1	3.42
10.8	17.1	0.713	51.2	3.43
10.8	17.1	0.713	51.3	3.43
10.8	17.2	0.713	51.4	3.44
10.8	17.2	0.713	51.5	3.45
10.8	17.2	0.713	51.5	3.45
10.8	17.3	0.713	51.6	3.46
10.8	17.3	0.713	51.7	3.47
10.8	17.3	0.713	51.8	3.47
10.8	17.4	0.713	51.9	3.48
10.8	17.4	0.713	52.0	3.48
10.8	17.4	0.713	52.1	3.49
10.8	17.5	0.713	52.2	3.50
10.8	17.5	0.713	52.3	3.50
10.8	17.5	0.713	52.4	3.51
10.8	17.5	0.713	52.5	3.51
10.8	17.6	0.713	52.6	3.52
10.8	17.6	0.713	52.6	3.53
10.8	17.6	0.713	52.7	3.53
10.8	17.7	0.713	52.8	3.54
10.8	17.7	0.713	52.9	3.55
10.8	17.7	0.713	53.0	3.55
10.8	17.8	0.713	53.1	3.56
10.8	17.8	0.713	53.2	3.56
10.8	17.8	0.713	53.3	3.57
10.8	17.9	0.713	53.4	3.58
10.8	17.9	0.713	53.5	3.58
10.8	17.9	0.713	53.6	3.59
10.8	17.9	0.713	53.7	3.59
11.7	18.0	0.767	53.8	3.60
10.8	18.0	0.713	53.8	3.61
10.8	18.0	0.713	53.9	3.61
10.8	18.1	0.713	54.0	3.62
11.7	18.1	0.767	54.1	3.63
11.7	18.1	0.767	54.2	3.63
10.8	18.2	0.713	54.3	3.64
10.8	18.2	0.713	54.4	3.64
11.7	18.2	0.767	54.5	3.65
10.9	18.3	0.716	54.6	3.66
11.7	18.3	0.767	54.7	3.66
10.8	18.3	0.713	54.8	3.67
11.7	18.4	0.767	54.9	3.67
11.7	18.4	0.767	54.9	3.68
11.7	18.4	0.767	55.0	3.69
11.7	18.4	0.767	55.1	3.69
11.7	18.5	0.767	55.2	3.70
11.7	18.5	0.767	55.3	3.71
11.7	18.5	0.767	55.4	3.71
11.7	18.6	0.767	55.5	3.72
11.7	18.6	0.767	55.6	3.72
11.7	18.6	0.767	55.7	3.73
11.7	18.7	0.767	55.8	3.74
11.7	18.7	0.767	55.9	3.74
11.7	18.7	0.767	56.0	3.75
11.7	18.8	0.767	56.1	3.75
11.7	18.8	0.767	56.1	3.76
11.7	18.8	0.767	56.2	3.77
11.7	18.8	0.767	56.3	3.77
11.7	18.9	0.767	56.4	3.78
11.7	18.9	0.767	56.5	3.79
11.7	18.9	0.767	56.6	3.79
11.7	19.0	0.767	56.7	3.80
11.7	19.0	0.767	56.8	3.80
11.7	19.0	0.767	56.9	3.81
11.7	19.1	0.767	57.0	3.82
11.7	19.1	0.767	57.1	3.82
11.7	19.1	0.767	57.2	3.83
11.7	19.2	0.767	57.2	3.83
11.7	19.2	0.767	57.3	3.84
11.7	19.2	0.767	57.4	3.85
11.7	19.2	0.767	57.5	3.85
11.7	19.3	0.767	57.6	3.86
11.7	19.3	0.767	57.7	3.87
11.7	19.3	0.767	57.8	3.87
11.7	19.4	0.767	57.9	3.88
11.7	19.4	0.767	58.0	3.88
11.7	19.4	0.767	58.1	3.89
11.7	19.5	0.767	58.2	3.90
11.7	19.5	0.767	58.3	3.90
11.7	19.5	0.767	58.4	3.91
11.7	19.6	0.767	58.4	3.91
11.7	19.6	0.767	58.5	3.92
11.7	19.6	0.767	58.6	3.93
11.7	19.6	0.767	58.7	3.93
11.7	19.7	0.767	58.8	3.94
11.7	19.7	0.767	58.9	3.95
11.7	19.7	0.767	59.0	3.95
12.5	19.8	0.822	59.1	3.96
12.5	19.8	0.822	59.2	3.96
11.7	19.8	0.767	59.3	3.97
12.5	19.9	0.822	59.4	3.98
11.7	19.9	0.767	59.5	3.98
11.9	19.9	0.784	59.6	3.99
11.7	20.0	0.767	59.6	3.99
11.7	20.0	0.767	59.7	4.00
12.3	20.0	0.807	59.8	4.01
11.7	20.0	0.767	59.9	4.01
11.7	20.1	0.767	60.0	4.02
12.5	20.1	0.822	60.1	4.03
11.7	20.1	0.767	60.2	4.03
12.5	20.2	0.822	60.3	4.04
11.7	20.2	0.767	60.4	4.04
11.7	20.2	0.767	60.5	4.05
11.7	20.3	0.767	60.6	4.06
12.5	20.3	0.822	60.7	4.06
12.5	20.3	0.822	60.7	4.07
12.5	20.4	0.822	60.8	4.07
12.5	20.4	0.822	60.9	4.08
11.7	20.4	0.767	61.0	4.09
11.7	20.4	0.767	61.1	4.09
12.5	20.5	0.822	61.2	4.10
12.2	20.5	0.799	61.3	4.11
12.5	20.5	0.822	61.4	4.11
12.5	20.6	0.822	61.5	4.12
11.7	20.6	0.767	61.6	4.12
12.5	20.6	0.822	61.7	4.13
12.5	20.7	0.822	61.8	4.14
12.5	20.7	0.822	61.9	4.14
12.5	20.7	0.822	61.9	4.15
12.5	20.8	0.822	62.0	4.15
12.5	20.8	0.822	62.1	4.16
12.5	20.8	0.822	62.2	4.17
12.5	20.8	0.822	62.3	4.17
12.5	20.9	0.822	62.4	4.18
12.5	20.9	0.822	62.5	4.19
12.5	20.9	0.822	62.6	4.19
12.5	21.0	0.822	62.7	4.20
12.5	21.0	0.822	62.8	4.20
12.5	21.0	0.822	62.9	4.21
12.5	21.1	0.822	63.0	4.22
12.5	21.1	0.822	63.1	4.22
12.5	21.1	0.822	63.1	4.23
12.5	21.2	0.822	63.2	4.23
12.5	21.2	0.822	63.3	4.24
12.5	21.2	0.822	63.4	4.25
12.5	21.2	0.822	63.5	4.25
12.5	21.3	0.822	63.6	4.26
12.5	21.3	0.822	63.7	4.27
12.5	21.3	0.822	63.8	4.27
12.5	21.4	0.822	63.9	4.28
12.5	21.4	0.822	64.0	4.28
